THE	TH IH
ENOUGH	IH N AO UW G HH
ENOUGH	AH N AH AH G HH
SIR	S IY R
DONE	D AO N IH
DONE	D AH N AH
GOT	G AO T
SIDE	S IY D IH
SIDE	S AH D AH
SEEN	S IH IH N
SEEN	S AH AH N
WOMAN	W AO M AH N
WOMAN	W AH M AH N
CALLED	K AH L L IH D
CALLED	K AH L L AH D
CALLED	K AH L L IH T
IT'S	IY T S
IT'S	AH T S
IT'S	IY D S
WHOLE	W HH AO L IH
WHOLE	W HH AH L AH
BETWEEN	B IH T W IH IH N
BETWEEN	B AH T W AH AH N
BETWEEN	B IH D W IH IH N
FELT	F IH L T
FELT	F AH L T
KING	K IY N G
KING	K AH N G
MORNING	M AO R N IY N G
MORNING	M AH R N AH N G
HERSELF	HH IH R S IH L F
HERSELF	HH AH R S AH L F
FIND	F IY N D
FIND	F AH N D
FIND	F IY N T
TURNED	T UW R N IH D
TURNED	T AH R N AH D
TURNED	T UW R N IH T
HOWEVER	HH AO W IH V IH R
HOWEVER	HH AH W AH V AH R
WHITE	W HH IY T IH
WHITE	W HH AH T AH
WHITE	W HH IY D IH
ALSO	AH L S AO
ALSO	AH L S AH
HALF	HH AH L F
PERHAPS	P IH R HH AH P S
PERHAPS	P AH R HH AH P S
GIRL	G IY R L
GIRL	G AH R L
REPLIED	R IH P L IY IH D
REPLIED	R AH P L AH AH D
REPLIED	R IH P L IY IH T
HUNDRED	HH UW N D R IH D
HUNDRED	HH AH N D R AH D
HUNDRED	HH UW N D R IH T
QUITE	K UW IY T IH
QUITE	K AH AH T AH
QUITE	K UW IY D IH
OH	AO HH
MYSELF	M Y S IH L F
MYSELF	M Y S AH L F
PART	P AH R T
WATER	W AH T IH R
WATER	W AH T AH R
WATER	W AH D IH R
COURSE	K AO UW R S IH
COURSE	K AH AH R S AH
VOICE	V AO IY K IH
VOICE	V AH AH K AH
POOR	P AO AO R
POOR	P AH AH R
BOTH	B AO T HH
BOTH	B AH T HH
BOTH	B AO D HH
NAME	N AH M IH
NAME	N AH M AH
GAVE	G AH V IH
GAVE	G AH V AH
HANDS	HH AH N D S
WHOM	W HH AO M
WHOM	W HH AH M
DAYS	D AH Y S
ALMOST	AH L M AO S T
ALMOST	AH L M AH S T
AMONG	AH M AO N G
AMONG	AH M AH N G
SET	S IH T
TOGETHER	T AO G IH T HH IH R
TOGETHER	T AH G AH T HH AH R
TOGETHER	T AO G IH D HH IH R
WORDS	W AO R D S
WORDS	W AH R D S
UNTIL	UW N T IY L
UNTIL	AH N T AH L
UNTIL	UW N D IY L
ANYTHING	AH N Y T HH IY N G
ANYTHING	AH N Y T HH AH N G
ANYTHING	AH N Y D HH IY N G
FEET	F IH IH T
FEET	F AH AH T
NEXT	N IH K S T
NEXT	N AH K S T
WANT	W AH N T
STOOD	S T AO AO D
STOOD	S T AH AH D
STOOD	S T AO AO T
STOOD	S D AO AO D
FOUR	F AO UW R
FOUR	F AH AH R
I'M	IY M
BROUGHT	B R AO UW G HH T
BROUGHT	B R AH AH G HH T
BEST	B IH S T
BEST	B AH S T
LIGHT	L IY G HH T
LIGHT	L AH G HH T
OTHERS	AO T HH IH R S
OTHERS	AH T HH AH R S
OTHERS	AO D HH IH R S
FIVE	F IY V IH
FIVE	F AH V AH
LOOKING	L AO AO K IY N G
LOOKING	L AH AH K AH N G
SMALL	S M AH L L
ALONG	AH L AO N G
ALONG	AH L AH N G
NOR	N AO R
NEAR	N IH AH R
NEAR	N AH AH R
RATHER	R AH T HH IH R
RATHER	R AH T HH AH R
RATHER	R AH D HH IH R
SINCE	S IY N K IH
SINCE	S AH N K AH
BELIEVE	B IH L IY IH V IH
BELIEVE	B AH L AH AH V AH
PASSED	P AH S S IH D
PASSED	P AH S S AH D
PASSED	P AH S S IH T
DOES	D AO IH S
DOES	D AH AH S
MONEY	M AO N IH Y
MONEY	M AH N AH Y
OPEN	AO P IH N
OPEN	AH P AH N
LAY	L AH Y
END	IH N D
END	IH N T
INDEED	IY N D IH IH D
INDEED	AH N D AH AH D
INDEED	IY N D IH IH T
ROUND	R AO UW N D
ROUND	R AH AH N D
ROUND	R AO UW N T
KIND	K IY N D
KIND	K AH N D
KIND	K IY N T
FULL	F UW L L
FULL	F AH L L
TWENTY	T W IH N T Y
TWENTY	T W AH N T Y
TWENTY	T W IH N D Y
CRIED	K R IY IH D
CRIED	K R AH AH D
CRIED	K R IY IH T
TAKEN	T AH K IH N
TAKEN	T AH K AH N
SURE	S UW R IH
SURE	S AH R AH
MATTER	M AH T T IH R
MATTER	M AH T T AH R
MATTER	M AH D D IH R
WORD	W AO R D
WORD	W AH R D
WORD	W AO R T
DEAR	D IH AH R
DEAR	D AH AH R
GONE	G AO N IH
GONE	G AH N AH
COUNTRY	K AO UW N T R Y
COUNTRY	K AH AH N T R Y
COUNTRY	K AO UW N D R Y
WHOSE	W HH AO S IH
WHOSE	W HH AH S AH
ANSWERED	AH N S W IH R IH D
ANSWERED	AH N S W AH R AH D
ANSWERED	AH N S W IH R IH T
LESS	L IH S S
LESS	L AH S S
HIGH	HH IY G HH
HIGH	HH AH G HH
THEMSELVES	TH IH M S IH L V IH S
THEMSELVES	TH AH M S AH L V AH S
SAT	S AH T
AIR	AH IY R
BLACK	B L AH K K
BEHIND	B IH HH IY N D
BEHIND	B AH HH AH N D
BEHIND	B IH HH IY N T
POWER	P AO W IH R
POWER	P AH W AH R
TRUE	T R UW IH
TRUE	T R AH AH
UNCLE	UW N K L IH
UNCLE	AH N K L AH
AROUND	AH R AO UW N D
AROUND	AH R AH AH N D
AROUND	AH R AO UW N T
NATURE	N AH T UW R IH
NATURE	N AH T AH R AH
NATURE	N AH D UW R IH
CHILD	CH IY L D
CHILD	CH AH L D
CHILD	CH IY L T
DEATH	D IH AH T HH
DEATH	D AH AH T HH
DEATH	D IH AH D HH
DURING	D UW R IY N G
DURING	D AH R AH N G
CERTAIN	K IH R T AH IY N
CERTAIN	K AH R T AH AH N
CERTAIN	K IH R D AH IY N
REST	R IH S T
REST	R AH S T
KEEP	K IH IH P
KEEP	K AH AH P
JOHN	JH AO HH N
JOHN	JH AH HH N
OFTEN	AO F T IH N
OFTEN	AH F T AH N
OFTEN	AO F D IH N
TILL	T IY L L
TILL	T AH L L
WOMEN	W AO M IH N
WOMEN	W AH M AH N
ALREADY	AH L R IH AH D Y
ALREADY	AH L R AH AH D Y
CHILDREN	CH IY L D R IH N
CHILDREN	CH AH L D R AH N
THUS	TH UW S
THUS	TH AH S
PRESENT	P R IH S IH N T
PRESENT	P R AH S AH N T
HOPE	HH AO P IH
HOPE	HH AH P AH
LARGE	L AH R G IH
LARGE	L AH R G AH
LADY	L AH D Y
BECAME	B IH K AH M IH
BECAME	B AH K AH M AH
RETURNED	R IH T UW R N IH D
RETURNED	R AH T AH R N AH D
RETURNED	R IH T UW R N IH T
RETURNED	R IH D UW R N IH D
WIFE	W IY F IH
WIFE	W AH F AH
CANNOT	K AH N N AO T
CANNOT	K AH N N AH T
WISH	W IY S HH
WISH	W AH S HH
DIDN'T	D IY D N T
DIDN'T	D AH D N T
GOD	G AO D
GOD	G AO T
BOY	B AO Y
SENT	S IH N T
SENT	S AH N T
GIVEN	G IY V IH N
GIVEN	G AH V AH N
LEAVE	L IH AH V IH
LEAVE	L AH AH V AH
ALONE	AH L AO N IH
ALONE	AH L AH N AH
CASE	K AH S IH
CASE	K AH S AH
SHORT	SH AO R T
SHORT	SH AH R T
BODY	B AO D Y
BODY	B AH D Y
LAND	L AH N D
LAND	L AH N T
EVERYTHING	IH V IH R Y T HH IY N G
EVERYTHING	AH V AH R Y T HH AH N G
EVERYTHING	IH V IH R Y D HH IY N G
COMING	K AO M IY N G
COMING	K AH M AH N G
GENERAL	G IH N IH R AH L
GENERAL	G AH N AH R AH L
SAYS	S AH Y S
REALLY	R IH AH L L Y
REALLY	R AH AH L L Y
HELD	HH IH L D
HELD	HH AH L D
HELD	HH IH L T
DOCTOR	D AO K T AO R
DOCTOR	D AH K T AH R
DOCTOR	D AO K D AO R
ABOVE	AH B AO V IH
ABOVE	AH B AH V AH
GROUND	G R AO UW N D
GROUND	G R AH AH N D
GROUND	G R AO UW N T
FELL	F IH L L
FELL	F AH L L
FIRE	F IY R IH
FIRE	F AH R AH
HELP	HH IH L P
HELP	HH AH L P
THOUSAND	TH AO UW S AH N D
THOUSAND	TH AH AH S AH N D
THOUSAND	TH AO UW S AH N T
SPEAK	S P IH AH K
SPEAK	S P AH AH K
EVENING	IH V IH N IY N G
EVENING	AH V AH N AH N G
FACT	F AH K T
CITY	K IY T Y
CITY	K AH T Y
CITY	K IY D Y
SOMETIMES	S AO M IH T IY M IH S
SOMETIMES	S AH M AH T AH M AH S
SOMETIMES	S AO M IH D IY M IH S
HEAR	HH IH AH R
HEAR	HH AH AH R
ORDER	AO R D IH R
ORDER	AH R D AH R
STATE	S T AH T IH
STATE	S T AH T AH
STATE	S D AH D IH
FRIEND	F R IY IH N D
FRIEND	F R AH AH N D
FRIEND	F R IY IH N T
KEPT	K IH P T
KEPT	K AH P T
WITHIN	W IY T HH IY N
WITHIN	W AH T HH AH N
WITHIN	W IY D HH IY N
POINT	P AO IY N T
POINT	P AH AH N T
FRIENDS	F R IY IH N D S
FRIENDS	F R AH AH N D S
LEAST	L IH AH S T
LEAST	L AH AH S T
MASTER	M AH S T IH R
MASTER	M AH S T AH R
MASTER	M AH S D IH R
HOUR	HH AO UW R
HOUR	HH AH AH R
THAT'S	TH AH T S
THAT'S	TH AH D S
USE	UW S IH
FAMILY	F AH M IY L Y
FAMILY	F AH M AH L Y
CARE	K AH R IH
CARE	K AH R AH
MAKING	M AH K IY N G
MAKING	M AH K AH N G
WHETHER	W HH IH T HH IH R
WHETHER	W HH AH T HH AH R
WHETHER	W HH IH D HH IH R
BEAUTIFUL	B IH AH UW T IY F UW L
BEAUTIFUL	B AH AH AH T AH F AH L
BEAUTIFUL	B IH AH UW D IY F UW L
SIGHT	S IY G HH T
SIGHT	S AH G HH T
TIMES	T IY M IH S
TIMES	T AH M AH S
SUDDENLY	S UW D D IH N L Y
SUDDENLY	S AH D D AH N L Y
BED	B IH D
BED	B IH T
SIX	S IY K S
I'LL	IY L L
I'LL	AH L L
DEAD	D IH AH D
DEAD	D AH AH D
DEAD	D IH AH T
EITHER	IH IY T HH IH R
EITHER	AH AH T HH AH R
EITHER	IH IY D HH IH R
CALL	K AH L L
ITSELF	IY T S IH L F
ITSELF	AH T S AH L F
ITSELF	IY D S IH L F
USED	UW S IH D
USED	AH S AH D
USED	UW S IH T
ABLE	AH B L IH
ABLE	AH B L AH
TOWARDS	T AO W AH R D S
TOWARDS	T AH W AH R D S
DARK	D AH R K
MANNER	M AH N N IH R
MANNER	M AH N N AH R
MEAN	M IH AH N
MEAN	M AH AH N
SEVERAL	S IH V IH R AH L
SEVERAL	S AH V AH R AH L
CAPTAIN	K AH P T AH IY N
CAPTAIN	K AH P T AH AH N
CAPTAIN	K AH P D AH IY N
LOST	L AO S T
LOST	L AH S T
APPEARED	AH P P IH AH R IH D
APPEARED	AH P P AH AH R AH D
APPEARED	AH P P IH AH R IH T
STORY	S T AO R Y
STORY	S T AH R Y
STORY	S D AO R Y
TOWN	T AO W N
TOWN	T AH W N
KNOWN	K N AO W N
KNOWN	K N AH W N
BIG	B IY G
POSSIBLE	P AO S S IY B L IH
POSSIBLE	P AH S S AH B L AH
THOU	TH AO UW
THOU	TH AH AH
FINE	F IY N IH
FINE	F AH N AH
MEANS	M IH AH N S
MEANS	M AH AH N S
SEA	S IH AH
SECOND	S IH K AO N D
SECOND	S AH K AH N D
SECOND	S IH K AO N T
CONTINUED	K AO N T IY N UW IH D
CONTINUED	K AH N T AH N AH AH D
CONTINUED	K AO N T IY N UW IH T
CONTINUED	K AO N D IY N UW IH D
STRANGE	S T R AH N G IH
STRANGE	S T R AH N G AH
STRANGE	S D R AH N G IH
SON	S AO N
RED	R IH D
RED	R IH T
HUMAN	HH UW M AH N
HUMAN	HH AH M AH N
LORD	L AO R D
LORD	L AH R D
LORD	L AO R T
HARD	HH AH R D
HARD	HH AH R T
PERSON	P IH R S AO N
PERSON	P AH R S AH N
STREET	S T R IH IH T
STREET	S T R AH AH T
STREET	S D R IH IH T
REACHED	R IH AH K HH IH D
REACHED	R AH AH K HH AH D
REACHED	R IH AH K HH IH T
FEEL	F IH IH L
FEEL	F AH AH L
CLOSE	K L AO S IH
CLOSE	K L AH S AH
HAIR	HH AH IY R
HAIR	HH AH AH R
QUESTION	K UW IH S T IY AO N
QUESTION	K AH AH S T AH AH N
QUESTION	K UW IH S D IY AO N
ARMS	AH R M S
ROSE	R AO S IH
ROSE	R AH S AH
THEREFORE	TH IH R IH F AO R IH
THEREFORE	TH AH R AH F AH R AH
BECOME	B IH K AO M IH
BECOME	B AH K AH M AH
LONGER	L AO N G IH R
LONGER	L AH N G AH R
FOLLOWED	F AO L L AO W IH D
FOLLOWED	F AH L L AH W AH D
FOLLOWED	F AO L L AO W IH T
BUSINESS	B UW S IY N IH S S
BUSINESS	B AH S AH N AH S S
UNDERSTAND	UW N D IH R S T AH N D
UNDERSTAND	AH N D AH R S T AH N D
UNDERSTAND	UW N D IH R S T AH N T
UNDERSTAND	UW N D IH R S D AH N D
YEAR	Y IH AH R
YEAR	Y AH AH R
TABLE	T AH B L IH
TABLE	T AH B L AH
SORT	S AO R T
SORT	S AH R T
HAPPY	HH AH P P Y
DIFFERENT	D IY F F IH R IH N T
DIFFERENT	D AH F F AH R AH N T
SOUND	S AO UW N D
SOUND	S AH AH N D
SOUND	S AO UW N T
ACROSS	AH K R AO S S
ACROSS	AH K R AH S S
LIVE	L IY V IH
LIVE	L AH V AH
CERTAINLY	K IH R T AH IY N L Y
CERTAINLY	K AH R T AH AH N L Y
CERTAINLY	K IH R D AH IY N L Y
WINDOW	W IY N D AO W
WINDOW	W AH N D AH W
MET	M IH T
TREE	T R IH IH
TREE	T R AH AH
BLUE	B L UW IH
BLUE	B L AH AH
NEED	N IH IH D
NEED	N AH AH D
NEED	N IH IH T
ELSE	IH L S IH
ELSE	AH L S AH
WAR	W AH R
TURN	T UW R N
TURN	T AH R N
WANTED	W AH N T IH D
WANTED	W AH N T AH D
WANTED	W AH N T IH T
WANTED	W AH N D IH D
FELLOW	F IH L L AO W
FELLOW	F AH L L AH W
READ	R IH AH D
READ	R AH AH D
READ	R IH AH T
TOWARD	T AO W AH R D
TOWARD	T AH W AH R D
TOWARD	T AO W AH R T
REASON	R IH AH S AO N
REASON	R AH AH S AH N
READY	R IH AH D Y
READY	R AH AH D Y
OUGHT	AO UW G HH T
OUGHT	AH AH G HH T
EARTH	IH AH R T HH
EARTH	AH AH R T HH
EARTH	IH AH R D HH
ASK	AH S K
CARRIED	K AH R R IY IH D
CARRIED	K AH R R AH AH D
CARRIED	K AH R R IY IH T
LIVED	L IY V IH D
LIVED	L AH V AH D
LIVED	L IY V IH T
GREEN	G R IH IH N
GREEN	G R AH AH N
TEN	T IH N
FEELING	F IH IH L IY N G
FEELING	F AH AH L AH N G
IDEA	IY D IH AH
IDEA	AH D AH AH
ANSWER	AH N S W IH R
ANSWER	AH N S W AH R
RUN	R UW N
PRINCE	P R IY N K IH
PRINCE	P R AH N K AH
BROTHER	B R AO T HH IH R
BROTHER	B R AH T HH AH R
BROTHER	B R AO D HH IH R
COLD	K AO L D
COLD	K AH L D
COLD	K AO L T
LATER	L AH T IH R
LATER	L AH T AH R
LATER	L AH D IH R
EIGHTEEN	IH IY G HH T IH IH N
EIGHTEEN	AH AH G HH T AH AH N
EIGHTEEN	IH IY G HH D IH IH N
CHURCH	CH UW R K HH
CHURCH	CH AH R K HH
FEAR	F IH AH R
FEAR	F AH AH R
ALTHOUGH	AH L T HH AO UW G HH
ALTHOUGH	AH L T HH AH AH G HH
ALTHOUGH	AH L D HH AO UW G HH
ADDED	AH D D IH D
ADDED	AH D D AH D
ADDED	AH D D IH T
STRONG	S T R AO N G
STRONG	S T R AH N G
STRONG	S D R AO N G
PARTY	P AH R T Y
PARTY	P AH R D Y
SHOW	SH AO W
SHOW	SH AH W
EYE	IH Y IH
PETER	P IH T IH R
PETER	P AH T AH R
PETER	P IH D IH R
RIVER	R IY V IH R
RIVER	R AH V AH R
CAN'T	K AH N T
TAKING	T AH K IY N G
TAKING	T AH K AH N G
SUPPOSE	S UW P P AO S IH
SUPPOSE	S AH P P AH S AH
GIRLS	G IY R L S
GIRLS	G AH R L S
PRINCESS	P R IY N K IH S S
PRINCESS	P R AH N K AH S S
FOOT	F AO AO T
FOOT	F AH AH T
TREES	T R IH IH S
TREES	T R AH AH S
BOOK	B AO AO K
BOOK	B AH AH K
PRETTY	P R IH T T Y
PRETTY	P R AH T T Y
PRETTY	P R IH D D Y
ENTERED	IH N T IH R IH D
ENTERED	AH N T AH R AH D
ENTERED	IH N T IH R IH T
ENTERED	IH N D IH R IH D
ROAD	R AO AH D
ROAD	R AH AH D
ROAD	R AO AH T
HOURS	HH AO UW R S
HOURS	HH AH AH R S
SLEEP	S L IH IH P
SLEEP	S L AH AH P
FALL	F AH L L
RECEIVED	R IH K IH IY V IH D
RECEIVED	R AH K AH AH V AH D
RECEIVED	R IH K IH IY V IH T
CLEAR	K L IH AH R
CLEAR	K L AH AH R
LOW	L AO W
FREE	F R IH IH
FREE	F R AH AH
LETTER	L IH T T IH R
LETTER	L AH T T AH R
LETTER	L IH D D IH R
TRIED	T R IY IH D
TRIED	T R AH AH D
TRIED	T R IY IH T
SPOKE	S P AO K IH
SPOKE	S P AH K AH
PAST	P AH S T
FORM	F AO R M
FORM	F AH R M
DOUBT	D AO UW B T
DOUBT	D AH AH B T
TALK	T AH L K
BEYOND	B IH Y AO N D
BEYOND	B AH Y AH N D
BEYOND	B IH Y AO N T
DAUGHTER	D AH UW G HH T IH R
DAUGHTER	D AH AH G HH T AH R
DAUGHTER	D AH UW G HH D IH R
OPENED	AO P IH N IH D
OPENED	AH P AH N AH D
OPENED	AO P IH N IH T
LIVING	L IY V IY N G
LIVING	L AH V AH N G
SAYING	S AH Y IY N G
SAYING	S AH Y AH N G
HOLD	HH AO L D
HOLD	HH AH L D
HOLD	HH AO L T
NUMBER	N UW M B IH R
NUMBER	N AH M B AH R
DOING	D AO IY N G
DOING	D AH AH N G
HORSE	HH AO R S IH
HORSE	HH AH R S AH
SCHOOL	S K HH AO AO L
SCHOOL	S K HH AH AH L
BOYS	B AO Y S
BOYS	B AH Y S
ENGLAND	IH N G L AH N D
ENGLAND	AH N G L AH N D
ENGLAND	IH N G L AH N T
O	AO
LED	L IH D
LED	L IH T
DEEP	D IH IH P
DEEP	D AH AH P
I'VE	IY V IH
I'VE	AH V AH
GLAD	G L AH D
GLAD	G L AH T
ENGLISH	IH N G L IY S HH
ENGLISH	AH N G L AH S HH
THY	TH Y
THEE	TH IH IH
THEE	TH AH AH
RETURN	R IH T UW R N
RETURN	R AH T AH R N
RETURN	R IH D UW R N
HUSBAND	HH UW S B AH N D
HUSBAND	HH AH S B AH N D
HUSBAND	HH UW S B AH N T
EIGHT	IH IY G HH T
